ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D11,Controlled Drugs and Substances Act,Other,201,195
2014,D11,Crimes Against Property,Auto Theft,119,42
2014,D11,Crimes Against Property,Break & Enter-Apartment,85,37
2014,D11,Crimes Against Property,Break & Enter-Commercial,58,18
2014,D11,Crimes Against Property,Break & Enter-House,89,34
2014,D11,Crimes Against Property,Break & Enter-Other,23,7
2014,D11,Crimes Against Property,Fraud,232,83
2014,D11,Crimes Against Property,Other,628,230
2014,D11,Crimes Against Property,Theft Over $5000,36,12
2014,D11,Crimes Against Property,Theft Under $5000,1774,790
2014,D11,Crimes Against the Person,Assault,648,496
2014,D11,Crimes Against the Person,Attempt Murder,1,1
2014,D11,Crimes Against the Person,Other,185,114
2014,D11,Crimes Against the Person,Robbery-Financial,7,7
2014,D11,Crimes Against the Person,Robbery-Other,127,49
2014,D11,Crimes Against the Person,Sexual Violation,94,51
2014,D11,Criminal Code Traffic ,Other,87,87
2014,D11,Other Criminal Code Violations,Other,519,485
2014,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,48,45
2014,D11,Other Federal Statute Violations,Other,19,19
2014,D12,Controlled Drugs and Substances Act,Other,333,321
2014,D12,Crimes Against Property,Auto Theft,240,50
2014,D12,Crimes Against Property,Break & Enter-Apartment,76,44
2014,D12,Crimes Against Property,Break & Enter-Commercial,41,15
2014,D12,Crimes Against Property,Break & Enter-House,90,36
2014,D12,Crimes Against Property,Break & Enter-Other,19,8
2014,D12,Crimes Against Property,Fraud,232,68
2014,D12,Crimes Against Property,Other,474,170
2014,D12,Crimes Against Property,Theft Over $5000,27,10
2014,D12,Crimes Against Property,Theft Under $5000,1119,478
2014,D12,Crimes Against the Person,Assault,694,508
2014,D12,Crimes Against the Person,Attempt Murder,6,5
2014,D12,Crimes Against the Person,Other,208,143
2014,D12,Crimes Against the Person,Robbery-Financial,3,3
2014,D12,Crimes Against the Person,Robbery-Other,200,110
2014,D12,Crimes Against the Person,Sexual Violation,98,55
2014,D12,Criminal Code Traffic ,Other,106,95
2014,D12,Other Criminal Code Violations,Other,472,441
2014,D12,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,66,60
2014,D12,Other Federal Statute Violations,Other,31,31
2014,D13,Controlled Drugs and Substances Act,Other,169,162
2014,D13,Crimes Against Property,Auto Theft,125,30
2014,D13,Crimes Against Property,Break & Enter-Apartment,62,20
2014,D13,Crimes Against Property,Break & Enter-Commercial,50,16
2014,D13,Crimes Against Property,Break & Enter-House,160,44
2014,D13,Crimes Against Property,Break & Enter-Other,16,4
2014,D13,Crimes Against Property,Fraud,208,120
2014,D13,Crimes Against Property,Other,488,183
2014,D13,Crimes Against Property,Theft Over $5000,43,19
2014,D13,Crimes Against Property,Theft Under $5000,1025,337
2014,D23,Controlled Drugs and Substances Act,Other,251,235
2014,D23,Crimes Against Property,Auto Theft,537,49
2014,D23,Crimes Against Property,Break & Enter-Apartment,76,6
2014,D23,Crimes Against Property,Break & Enter-Commercial,109,31
2014,D23,Crimes Against Property,Break & Enter-House,120,26
2014,D23,Crimes Against Property,Break & Enter-Other,17,4
2014,D23,Crimes Against Property,Fraud,458,165
2014,D23,Crimes Against Property,Other,592,164
2014,D23,Crimes Against Property,Theft Over $5000,63,7
2014,D23,Crimes Against Property,Theft Under $5000,1914,433
